Study,effectsizeID,Author,Date,cohen.d,hedge,hedgeg.correction,Vd,Sampling.variance,SE,Frequency,Hemisphere,Control.comparison,Cortical.region,Memorystage,Retrieval,Simulation.timing,Intensity,MTI,notes
2,23,Galli ,2017,0.107324585,0.103757379,0.965517241,0.166907255,0.155594296,0.394454429,twenty,L,v,PFC,enc,fam,on,below,90,Deep: VLPFC During Word vs vertex
2,24,Galli ,2017,-0.243428159,-0.235084138,0.965517241,0.167901701,0.156521445,0.395627913,twenty,L,b,PFC,enc,fam,on,below,90,Deep: VLPFC During Word vs none
2,25,Galli ,2017,-0.036914516,-0.035646897,0.965517241,0.166695069,0.155397056,0.394204332,twenty,L,v,PFC,enc,fam,on,below,90,Deep: VLPFC At word vs vertex
2,26,Galli ,2017,-0.394014052,-0.380442759,0.965517241,0.16990124,0.158385694,0.397977002,twenty,L,b,PFC,enc,fam,on,below,90,Deep: VLPFC at words vs none
2,27,Galli ,2017,-0.156299827,-0.152851035,0.965517241,0.167188802,0.155845046,0.394772145,twenty,L,v,PFC,enc,fam,on,below,90,Deep: VLPFC 100ms vs vertex
2,28,Galli ,2017,-0.458798676,-0.446764138,0.965517241,0.171127383,0.159458706,0.399322809,twenty,L,b,PFC,enc,fam,on,below,90,Deep: VLPFC 100ms vs none
2,29,Galli ,2017,-0.346139173,-0.334464828,0.965517241,0.169166595,0.157697505,0.397111451,twenty,L,v,PFC,enc,fam,on,below,90,Deep: VLPFC 200ms vs vertex
2,30,Galli ,2017,-0.713462894,-0.690528276,0.965517241,0.177322845,0.165256613,0.406517667,twenty,L,b,PFC,enc,fam,on,below,90,Deep: VLPFC 200ms vs none
2,31,Galli ,2017,-0.131226915,-0.127670345,0.965517241,0.167030941,0.155705036,0.394594774,twenty,L,v,PFC,enc,fam,on,below,90,Deep: VLPFC 300ms vs vertex
2,32,Galli ,2017,-0.448432298,-0.434868966,0.965517241,0.17089296,0.159276054,0.399094042,twenty,L,b,PFC,enc,fam,on,below,90,Deep: VLPFC 300ms vs none
2,33,Galli ,2017,0.113564104,0.109648966,0.965517241,0.166935353,0.155621064,0.394488357,twenty,L,v,PFC,enc,fam,on,below,90,Deep: VLPFC 400ms vs vertex
2,34,Galli ,2017,-0.256735515,-0.248022069,0.965517241,0.168041411,0.156650711,0.395791246,twenty,L,b,PFC,enc,fam,on,below,90,Deep: VLPFC 400ms vs none
2,35,Galli ,2017,0.030678399,0.02963269,0.965517241,0.16668629,0.155388869,0.394193949,twenty,L,v,PFC,enc,fam,on,below,90,Shallow: DLPFC During Word vs Vertex
2,36,Galli ,2017,0.237077408,0.230152276,0.965517241,0.167850443,0.15646218,0.395553005,twenty,L,b,PFC,enc,fam,on,below,90,Shallow: DLPFC During Word vs none
